iter	Passed	Remaining
544	3815	3185
545	3821	3177
546	3828	3170
547	3834	3163
548	3841	3156
549	3848	3148
550	3854	3140
551	3862	3134
552	3868	3126
553	3875	3119
554	3882	3113
555	3889	3105
556	3894	3097
557	3900	3090
558	3908	3083
559	3914	3075
560	3921	3068
561	3928	3061
562	3934	3053
563	3941	3047
564	3947	3039
565	3954	3032
566	3960	3024
567	3966	3016
568	3972	3009
569	3978	3001
570	3985	2994
571	3991	2986
572	3997	2978
573	4005	2972
574	4012	2965
575	4019	2958
576	4027	2952
577	4038	2948
578	4045	2941
579	4056	2937
580	4063	2930
581	4073	2925
582	4080	2918
583	4089	2913
584	4096	2905
585	4105	2900
586	4113	2894
587	4125	2890
588	4135	2885
589	4142	2878
590	4151	2873
591	4158	2865
592	4167	2860
593	4174	2853
594	4183	2847
595	4203	2849
596	4218	2847
597	4234	2846
598	4253	2847
599	4264	2842
600	4270	2835
601	4282	2831
602	4294	2827
603	4302	2820
604	4312	2815
605	4319	2808
606	4327	2801
607	4334	2794
608	4342	2788
609	4349	2780
610	4358	2774
611	4365	2767
612	4373	2760
613	4380	2754
614	4388	2747
615	4394	2739
616	4402	2732
617	4409	2725
618	4417	2719
619	4425	2712
620	4431	2704
621	4440	2698
622	4448	2691
623	4457	2685
624	4464	2678
625	4472	2672
626	4479	2664
627	4486	2657
628	4493	2650
629	4500	2643
630	4507	2636
631	4515	2629
632	4523	2622
633	4529	2615
634	4537	2608
635	4544	2600
636	4551	2593
637	4557	2586
638	4565	2579
639	4572	2571
640	4578	2564
641	4585	2557
642	4593	2550
643	4602	2544
644	4610	2537
645	4616	2530
646	4623	2522
647	4630	2515
648	4637	2507
649	4645	2501
650	4652	2494
651	4661	2487
652	4667	2480
653	4674	2473
654	4683	2466
655	4690	2459
656	4697	2452
657	4704	2444
658	4712	2438
659	4719	2431
660	4728	2424
661	4734	2417
662	4743	2411
663	4750	2404
664	4758	2397
665	4765	2389
666	4773	2383
667	4780	2376
668	4789	2369
669	4796	2362
670	4805	2356
671	4812	2348
672	4819	2341
673	4826	2334
674	4834	2327
675	4841	2320
676	4848	2313
677	4855	2305
678	4862	2298
679	4869	2291
680	4877	2284
681	4886	2278
682	4894	2271
683	4900	2264
684	4910	2258
685	4917	2250
686	4925	2244
687	4932	2237
688	4940	2230
689	4946	2222
690	4953	2215
691	4961	2208
692	4967	2200
693	4976	2194
694	4982	2186
695	4990	2179
696	4996	2172
697	5004	2165
698	5011	2158
699	5019	2151
700	5026	2144
701	5033	2136
702	5041	2129
703	5048	2122
704	5055	2115
705	5062	2108
706	5072	2102
707	5079	2094
708	5088	2088
709	5094	2080
710	5102	2074
711	5109	2066
712	5116	2059
713	5124	2052
714	5131	2045
715	5139	2038
716	5147	2031
717	5155	2024
718	5163	2017
719	5171	2011
720	5179	2004
721	5186	1997
722	5193	1989
723	5200	1982
724	5207	1975
725	5214	1968
726	5221	1960
727	5228	1953
728	5235	1946
729	5241	1938
730	5249	1931
731	5256	1924
732	5263	1917
733	5270	1909
734	5277	1902
735	5284	1895
736	5292	1888
737	5298	1881
738	5305	1873
739	5313	1866
740	5320	1859
741	5327	1852
742	5334	1845
743	5342	1838
744	5348	1830
745	5358	1824
746	5366	1817
747	5375	1811
748	5382	1803
749	5390	1796
750	5397	1789
751	5405	1782
752	5413	1775
753	5421	1768
754	5428	1761
755	5437	1755
756	5445	1747
757	5455	1741
758	5461	1734
759	5470	1727
760	5478	1720
761	5485	1713
762	5492	1705
763	5500	1699
764	5508	1692
765	5516	1685
766	5523	1678
767	5532	1671
768	5538	1663
769	5548	1657
770	5555	1650
771	5564	1643
772	5571	1636
773	5581	1629
774	5588	1622
775	5596	1615
776	5603	1608
777	5609	1600
778	5617	1593
779	5624	1586
780	5632	1579
781	5638	1571
782	5647	1565
783	5654	1557
784	5662	1550
785	5669	1543
786	5677	1536
787	5685	1529
788	5693	1522
789	5700	1515
790	5708	1508
791	5714	1500
792	5723	1493
793	5731	1487
794	5739	1479
795	5745	1472
796	5752	1465
797	5760	1458
798	5767	1450
799	5776	1444
800	5784	1436
801	5793	1430
802	5801	1423
803	5810	1416
804	5818	1409
805	5826	1402
806	5835	1395
807	5843	1388
808	5854	1382
809	5861	1374
810	5871	1368
811	5878	1361
812	5889	1354
813	5897	1347
814	5904	1340
815	5912	1333
816	5920	1326
817	5930	1319
818	5937	1312
819	5946	1305
820	5952	1297
821	5961	1290
822	5969	1283
823	5981	1277
824	5988	1270
825	5997	1263
826	6004	1256
827	6013	1249
828	6020	1241
829	6026	1234
830	6033	1227
831	6042	1220
832	6049	1212
833	6060	1206
834	6067	1199
835	6080	1192
836	6087	1185
837	6097	1178
838	6104	1171
839	6113	1164
840	6120	1157
841	6129	1150
842	6136	1142
843	6144	1135
844	6151	1128
845	6161	1121
846	6167	1114
847	6178	1107
848	6187	1100
849	6194	1093
850	6204	1086
851	6211	1078
852	6218	1071
853	6225	1064
854	6232	1057
855	6240	1049
856	6249	1042
857	6257	1035
858	6267	1028
859	6275	1021
860	6286	1014
861	6293	1007
862	6303	1000
863	6311	993
864	6319	986
865	6326	978
866	6334	971
867	6340	964
868	6348	957
869	6354	949
870	6363	942
871	6369	935
872	6379	928
873	6386	920
874	6395	913
875	6401	906
876	6411	899
877	6417	891
878	6425	884
879	6432	877
880	6440	869
881	6447	862
882	6455	855
883	6463	848
884	6471	840
885	6479	833
886	6488	826
887	6495	819
888	6503	812
889	6510	804
890	6519	797
891	6526	790
892	6535	783
893	6543	775
894	6552	768
895	6558	761
896	6565	753
897	6571	746
898	6577	738
899	6584	731
900	6590	724
901	6597	716
902	6604	709
903	6610	702
904	6617	694
905	6624	687
906	6637	680
907	6649	673
908	6656	666
909	6666	659
910	6677	652
911	6693	645
912	6701	638
913	6712	631
914	6720	624
915	6728	617
916	6736	609
917	6745	602
918	6751	595
919	6760	587
920	6767	580
921	6778	573
922	6784	565
923	6794	558
924	6802	551
925	6812	544
926	6819	537
927	6828	529
928	6835	522
929	6844	515
930	6854	507
931	6860	500
932	6868	493
933	6874	485
934	6880	478
935	6888	470
936	6893	463
937	6900	456
938	6906	448
939	6912	441
940	6919	433
941	6926	426
942	6933	419
943	6939	411
944	6945	404
945	6952	396
946	6958	389
947	6966	382
948	6972	374
949	6980	367
950	6986	359
951	6993	352
952	7000	345
953	7006	337
954	7014	330
955	7020	323
956	7028	315
957	7035	308
958	7043	301
959	7050	293
960	7057	286
961	7065	279
962	7072	271
963	7088	264
964	7099	257
965	7118	250
966	7132	243
967	7143	236
968	7151	228
969	7159	221
970	7174	214
971	7183	206
972	7190	199
973	7197	192
974	7204	184
975	7211	177
976	7217	169
977	7225	162
978	7231	155
979	7238	147
980	7245	140
981	7252	132
982	7258	125
983	7266	118
984	7273	110
985	7279	103
986	7287	95
987	7293	88
988	7300	81
989	7306	73
990	7313	66
991	7321	59
992	7328	51
993	7335	44
994	7341	36
995	7348	29
996	7355	22
997	7362	14
998	7369	7
999	7376	0
